"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Order Management","0","Place Order with Logged-in User","1","0","Login first then place order flow","0"
"0","General Functionality","0","Contact Us","1","0","Successful submission of contact form with file upload","0"
"0","General Functionality","0","Test Cases Page","1","0","Navigation to Test Cases page","0"
"1","","0","","11","0","","0"
"0","Order Management","0","Place Order with Pre-registered User","1","0","Register user first then place order flow","0"
"0","Order Management","0","Place Order with Pre-registered User","1","0","Register and delete account flow","0"
"0","Order Management","0","User Registration and Deletion","1","0","Register user first then place order flow","0"
"0","Order Management","0","User Registration and Deletion","1","0","Register and delete account flow","0"
"0","User Management","0","Place Order with Pre-registered User","1","0","Register user first then place order flow","0"
"0","User Management","0","Place Order with Pre-registered User","1","0","Register and delete account flow","0"
"0","User Management","0","User Registration and Deletion","1","0","Register user first then place order flow","0"
"0","User Management","0","User Registration and Deletion","10","0","Register and delete account flow","0"
"0","Brand Management","0","View Brand Products","1","0","Navigate brand pages and verify products","0"
"0","Category Management","0","View Products by Category","1","0","User clicks categories and subcategories","0"
"0","User Management","0","User Login","1","0","Login with invalid credentials","0"
"0","User Management","0","User Registration","1","0","Attempt to register with existing email","0"
"0","E-commerce Flow","0","Place Order","1","0","Register while checkout and place order","0"
"0","E-commerce Flow","0","Place Order","1","0","Register and delete account flow","0"
"0","E-commerce Flow","0","User Registration and Deletion","1","0","Register while checkout and place order","0"
"0","E-commerce Flow","0","User Registration and Deletion","1","0","Register and delete account flow","0"
"0","User Management","0","Place Order","1","0","Register while checkout and place order","0"
"0","User Management","0","Place Order","1","0","Register and delete account flow","0"
"0","User Management","0","User Registration and Deletion","1","0","Register while checkout and place order","0"
"0","Cart Management","0","Remove Products From Cart","1","0","Add products and remove them from the cart","0"
