"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","E-commerce Flow","0","Cart Management","0","0","Add multiple products to cart and validate details","0"
"0","E-commerce Flow","0","Search","1","0","Search products and validate results","0"
"0","","0","","1","0","","0"
"0","E-commerce Flow","0","Place Order","1","0","Register while checkout and place order","0"
"0","E-commerce Flow","0","Place Order","1","0","Register and delete account flow","0"
"0","E-commerce Flow","0","User Registration and Deletion","1","0","Register while checkout and place order","0"
"0","E-commerce Flow","0","User Registration and Deletion","1","0","Register and delete account flow","0"
"0","User Management","0","Place Order","1","0","Register while checkout and place order","0"
"0","User Management","0","Place Order","1","0","Register and delete account flow","0"
"0","User Management","0","User Registration and Deletion","1","0","Register while checkout and place order","0"
"0","User Management","0","User Registration and Deletion","1","0","Register and delete account flow","0"
"0","General Functionality","0","Contact Us","1","0","Successful submission of contact form with file upload","0"
